time_5min,location,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,count
2020-04-06T00:00:00Z,2,2,8,5,NA,3,0,1
2020-04-06T00:00:00Z,3,6,3,10,10,9,0,1
2020-04-06T00:00:00Z,4,9,1.5,9.5,NA,6.5,0.5,2
2020-04-06T00:00:00Z,8,9,7,5,NA,4,0,1
2020-04-06T00:00:00Z,15,6,2,9,NA,4,1,1
2020-04-06T00:00:00Z,17,2,4,1,NA,4,0,1
2020-04-06T00:00:00Z,18,9,7,4,NA,8,0,1
2020-04-06T00:05:00Z,2,10,10,3,NA,10,0,1
2020-04-06T00:05:00Z,5,6,2,0,7,9,0,1
2020-04-06T00:05:00Z,6,10,3,8,4,1,0,1
2020-04-06T00:05:00Z,8,3.6,5.6,4,NA,5.4,0,5
2020-04-06T00:05:00Z,13,10,1,4,NA,3,0,1
2020-04-06T00:05:00Z,14,10,4,1,NA,1,0,1
2020-04-06T00:05:00Z,15,7,9,10,NA,3,0,1
2020-04-06T00:05:00Z,19,4,3,8,NA,10,0,1
2020-04-06T00:10:00Z,2,1,7,1,NA,2,0,1
2020-04-06T00:10:00Z,3,5,9,10,7,0,1,1
2020-04-06T00:10:00Z,4,6,5,9,NA,7.5,0,2
2020-04-06T00:10:00Z,5,3,4,3,9,4,0,1
2020-04-06T00:10:00Z,6,0.6666666666666666,7,1.3333333333333333,6.666666666666667,9,0.3333333333333333,3
2020-04-06T00:10:00Z,12,0,2,10,NA,5,0,1
2020-04-06T00:10:00Z,18,2,6,1,NA,3,0,1
2020-04-06T00:10:00Z,19,8,10,1,NA,3,1,1
2020-04-06T00:15:00Z,3,4,7,5,0,9,0,1
2020-04-06T00:15:00Z,6,8,3,1,7,10,0,1
2020-04-06T00:15:00Z,8,7,5,7.75,NA,6,0,4
2020-04-06T00:15:00Z,12,10,4,7,NA,2,0,1
2020-04-06T00:20:00Z,3,0,7,10,10,1,0,1
2020-04-06T00:20:00Z,6,10,3,10,9,0,0,1
2020-04-06T00:20:00Z,15,0,5,4,NA,8,0,1
2020-04-06T00:20:00Z,16,7,5,4,3,9,0,1
2020-04-06T00:25:00Z,3,4,3,7,4,3,0,2
2020-04-06T00:25:00Z,6,1,5,4,1,8,0,1
2020-04-06T00:25:00Z,8,1.5,7,5.5,NA,3,0,2
2020-04-06T00:25:00Z,15,7.5,2,2.5,NA,3,0,2
2020-04-06T00:25:00Z,17,2,0,7,NA,9,0,1
2020-04-06T00:30:00Z,4,10,3,6,NA,3,0,1
2020-04-06T00:30:00Z,18,2,4,4,NA,3,0,1
2020-04-06T00:30:00Z,19,9,10,6,NA,0,1,1
2020-04-06T00:35:00Z,1,2,10,3,5,5,0,1
2020-04-06T00:35:00Z,2,4.5,6.5,4.5,NA,6,0.5,2
2020-04-06T00:35:00Z,3,7.5,4.5,8.5,6,2.5,0,2
2020-04-06T00:35:00Z,9,8,9,1,6,7,0,1
2020-04-06T00:35:00Z,17,2,0,3,NA,4,0,1
2020-04-06T00:40:00Z,2,6,6,1.5,NA,2.5,0.5,2
2020-04-06T00:40:00Z,3,10,2,5,6,3,0,2
2020-04-06T00:40:00Z,5,2.5,4.5,5.5,4,7,0,2
2020-04-06T00:40:00Z,6,10,5,2.5,5,7,0,2
2020-04-06T00:40:00Z,19,4,5,7,NA,3,1,1
2020-04-06T00:45:00Z,2,9.5,7,1.5,NA,6.5,0,2
2020-04-06T00:45:00Z,6,10,4,8,1,0,0,1
2020-04-06T00:45:00Z,8,0,7,6,NA,0,0,1
2020-04-06T00:45:00Z,9,4,4,8,2,5,0,1
2020-04-06T00:50:00Z,2,8,10,10,NA,0,0,1
2020-04-06T00:50:00Z,3,0,4,3,10,3,0,1
2020-04-06T00:50:00Z,5,9,1,2,5,1,0,1
2020-04-06T00:50:00Z,9,7,0,9,3,9,0,1
2020-04-06T00:50:00Z,14,3,2.5,5,NA,6,0,2
2020-04-06T00:50:00Z,15,9,7,1,NA,9,0,1
2020-04-06T00:50:00Z,19,9,0,9,NA,9,1,1
2020-04-06T00:55:00Z,2,8,4,7,NA,6,0,1
2020-04-06T00:55:00Z,4,9,0,1,NA,5,0,1
2020-04-06T00:55:00Z,6,7,5,5,7,3,1,1
2020-04-06T00:55:00Z,14,7,8,4,NA,1,0,1
2020-04-06T00:55:00Z,15,7.5,5.25,7.75,NA,4.25,0,4
2020-04-06T00:55:00Z,19,6,2,2,0,1,0,1
2020-04-06T01:00:00Z,3,0,3,5,2,7,0,1
2020-04-06T01:00:00Z,6,5.5,8,7,3.5,6,0,2
2020-04-06T01:00:00Z,9,8.5,7,4,4.5,4,0,2
2020-04-06T01:00:00Z,12,10,10,10,NA,10,0,1
2020-04-06T01:00:00Z,14,9,6,5,NA,3.5,0,2
2020-04-06T01:00:00Z,15,10,3,5,NA,0,0,1
2020-04-06T01:05:00Z,2,6.5,4.5,2,NA,8,0.5,2
2020-04-06T01:05:00Z,6,7,2,3,6,10,0,1
2020-04-06T01:05:00Z,9,7,9,10,0,1,0,1
2020-04-06T01:05:00Z,11,5,10,7,10,5,0,1
2020-04-06T01:05:00Z,12,0,10,4,NA,9,0,1
2020-04-06T01:05:00Z,15,0,5,0,NA,2,0,1
2020-04-06T01:10:00Z,3,0.5,5.5,5,5,5.5,0,2
2020-04-06T01:10:00Z,6,7,5,5,7,4.5,0,2
2020-04-06T01:10:00Z,8,10,6,7,NA,10,0,1
2020-04-06T01:10:00Z,9,1,6,4,10,6,0,1
2020-04-06T01:10:00Z,13,7,3,9,NA,8,0,1
2020-04-06T01:10:00Z,16,10,4,5,8,7,0,2
2020-04-06T01:15:00Z,2,10,2,10,NA,8,0,1
2020-04-06T01:15:00Z,3,6,10,3,2,4,0,1
2020-04-06T01:15:00Z,6,4.333333333333333,4.666666666666667,4.333333333333333,5.333333333333333,3,0,3
2020-04-06T01:15:00Z,8,6.25,2.75,4.25,NA,5.75,0,4
2020-04-06T01:15:00Z,9,8,9,1,3,1,0,1
2020-04-06T01:15:00Z,13,5,8.5,7,NA,5.5,0,2
2020-04-06T01:15:00Z,14,4,10,5,NA,10,0,1
2020-04-06T01:15:00Z,18,1,5,9,NA,10,0,1
2020-04-06T01:20:00Z,1,10,7,6,7,3,0,1
2020-04-06T01:20:00Z,2,10,3,0,NA,3,0,1
2020-04-06T01:20:00Z,3,6,4,8,9,10,0,1
