location,time,ShakeIntensity,SewerAndWater,Power,RoadsAndBridges,Medical,Buildings
1,2020-04-08T00:50:00Z,0,7,13,5,15,13
1,2020-04-08T01:45:00Z,0,17,13,13,10,15
1,2020-04-08T02:30:00Z,0,3,2,7,6,3
1,2020-04-08T02:50:00Z,0,13,9,1,16,19
1,2020-04-08T03:00:00Z,0,10,7,1,4,7
1,2020-04-08T03:25:00Z,0,2,2,7,7,6
1,2020-04-08T03:40:00Z,0,8,5,10,9,6
1,2020-04-08T03:45:00Z,0,4,8,5,9,1
1,2020-04-08T04:10:00Z,0,2,10,7,10,10
1,2020-04-08T04:20:00Z,0,7,5,10,3,3
1,2020-04-08T04:25:00Z,0,2,3,7,1,10
1,2020-04-08T04:30:00Z,0,2,10,1,2,8
1,2020-04-08T04:40:00Z,0,1,10,7,7,6
1,2020-04-08T05:40:00Z,0,6,10,3,9,10
1,2020-04-08T06:25:00Z,0,8,3,6,4,13
1,2020-04-08T06:45:00Z,1,15,6,15,14,11
1,2020-04-08T06:50:00Z,0,11,12,16,11,14
1,2020-04-08T07:00:00Z,0,17,1,16,13,4
1,2020-04-08T07:10:00Z,0,10,3,2,10,6
1,2020-04-08T07:25:00Z,0,10,1,7,4,7
1,2020-04-08T07:40:00Z,0,10,10,8,10,10
1,2020-04-08T07:55:00Z,0,5,7,4,6,2
1,2020-04-08T08:15:00Z,0,8,6,2,1,8
1,2020-04-08T08:35:00Z,1,157,178,131,138,162
1,2020-04-08T08:40:00Z,2,366,403,316,334,374
1,2020-04-08T08:45:00Z,2,563,623,462,520,578
1,2020-04-08T08:50:00Z,2,399,424,357,377,393
1,2020-04-08T08:55:00Z,2,407,449,337,365,410
1,2020-04-08T09:00:00Z,3,376,412,332,364,381
1,2020-04-08T09:05:00Z,2,226,245,216,229,239
1,2020-04-08T09:10:00Z,3,353,373,320,324,360
1,2020-04-08T09:15:00Z,2,240,250,215,226,240
1,2020-04-08T09:20:00Z,2,236,247,211,233,246
1,2020-04-08T09:25:00Z,2,187,183,193,192,189
1,2020-04-08T09:30:00Z,1,184,201,159,174,185
1,2020-04-08T09:35:00Z,2,220,216,203,197,211
1,2020-04-08T09:40:00Z,2,203,210,179,194,199
1,2020-04-08T09:45:00Z,2,193,184,191,179,190
1,2020-04-08T09:50:00Z,3,97,104,123,117,109
1,2020-04-08T09:55:00Z,2,172,176,169,175,179
1,2020-04-08T10:00:00Z,2,130,127,130,132,130
1,2020-04-08T10:05:00Z,2,193,209,184,192,191
1,2020-04-08T10:10:00Z,2,134,122,128,131,133
1,2020-04-08T10:15:00Z,2,99,94,98,89,97
1,2020-04-08T10:20:00Z,1,9,7,25,17,14
1,2020-04-08T10:25:00Z,2,27,16,56,49,35
1,2020-04-08T10:30:00Z,2,29,16,50,37,27
1,2020-04-08T10:35:00Z,2,34,25,56,41,29
1,2020-04-08T10:40:00Z,2,21,12,34,25,20
1,2020-04-08T10:45:00Z,2,23,12,44,34,22
1,2020-04-08T10:50:00Z,2,26,14,61,36,33
1,2020-04-08T10:55:00Z,1,23,11,37,28,17
1,2020-04-08T11:00:00Z,2,32,12,64,48,29
1,2020-04-08T11:05:00Z,2,26,11,53,38,26
1,2020-04-08T11:10:00Z,3,11,4,22,14,11
1,2020-04-08T11:15:00Z,1,14,8,41,26,18
1,2020-04-08T11:20:00Z,3,13,6,29,23,11
1,2020-04-08T11:25:00Z,3,14,6,27,23,16
