time_5min,location,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,count,phase
2020-04-06T00:00:00Z,2,2,8,5,NA,3,0,1,pre-quake
2020-04-06T00:00:00Z,3,6,3,10,10,9,0,1,pre-quake
2020-04-06T00:00:00Z,4,9,1.5,9.5,NA,6.5,0.5,2,pre-quake
2020-04-06T00:00:00Z,8,9,7,5,NA,4,0,1,pre-quake
2020-04-06T00:00:00Z,15,6,2,9,NA,4,1,1,pre-quake
2020-04-06T00:00:00Z,17,2,4,1,NA,4,0,1,pre-quake
2020-04-06T00:00:00Z,18,9,7,4,NA,8,0,1,pre-quake
2020-04-06T00:05:00Z,2,10,10,3,NA,10,0,1,pre-quake
2020-04-06T00:05:00Z,5,6,2,0,7,9,0,1,pre-quake
2020-04-06T00:05:00Z,6,10,3,8,4,1,0,1,pre-quake
2020-04-06T00:05:00Z,8,3.6,5.6,4,NA,5.4,0,5,pre-quake
2020-04-06T00:05:00Z,13,10,1,4,NA,3,0,1,pre-quake
2020-04-06T00:05:00Z,14,10,4,1,NA,1,0,1,pre-quake
2020-04-06T00:05:00Z,15,7,9,10,NA,3,0,1,pre-quake
2020-04-06T00:05:00Z,19,4,3,8,NA,10,0,1,pre-quake
2020-04-06T00:10:00Z,2,1,7,1,NA,2,0,1,pre-quake
2020-04-06T00:10:00Z,3,5,9,10,7,0,1,1,pre-quake
2020-04-06T00:10:00Z,4,6,5,9,NA,7.5,0,2,pre-quake
2020-04-06T00:10:00Z,5,3,4,3,9,4,0,1,pre-quake
2020-04-06T00:10:00Z,6,0.6666666666666666,7,1.3333333333333333,6.666666666666667,9,0.3333333333333333,3,pre-quake
2020-04-06T00:10:00Z,12,0,2,10,NA,5,0,1,pre-quake
2020-04-06T00:10:00Z,18,2,6,1,NA,3,0,1,pre-quake
2020-04-06T00:10:00Z,19,8,10,1,NA,3,1,1,pre-quake
2020-04-06T00:15:00Z,3,4,7,5,0,9,0,1,pre-quake
2020-04-06T00:15:00Z,6,8,3,1,7,10,0,1,pre-quake
2020-04-06T00:15:00Z,8,7,5,7.75,NA,6,0,4,pre-quake
2020-04-06T00:15:00Z,12,10,4,7,NA,2,0,1,pre-quake
2020-04-06T00:20:00Z,3,0,7,10,10,1,0,1,pre-quake
2020-04-06T00:20:00Z,6,10,3,10,9,0,0,1,pre-quake
2020-04-06T00:20:00Z,15,0,5,4,NA,8,0,1,pre-quake
